sample_id,u87pi norm,h5m norm,plate
U87,0.5562488597,1.0281763764,A
U87PI ,1,1.8484107579,A
CB2,0.0529100529,0.097799511,A
H5M,0.541005291,1,A
3HQ,0.0106827277,0.0197460688,A
PBH,0.8194905869,1.5147552169,A
LNA,0.3915343915,0.7237163814,A
YXL,0.2394383394,0.4425804025,A
VVN,0.0950694444,0.1757273839,A
U87,0.8734801489,4.4056981399,B
U87PI ,1,5.0438446088,B
CB2,-0.0220712058,-0.1113237325,B
H5M,0.1982614608,1,B
R7K,0.5885473095,2.9685411741,B
RIW,1.5881259071,8.0102602947,B
TRM,0.3484200072,1.757376375,B
UNY,0.1389088629,0.7006347191,B
W31,0.1192530013,0.6014936079,B
AR_,1.7187294921,1,B
JMA,-0.0058731622,1,B
MW_,0.2081388703,1,B
SBM,-0.0118968519,1,B
AEG,-0.1372161906,1,B
AR_,1.5723331799,1,B
DCW,-0.1240863952,1,B
HEW,0.0178323618,1,B
